tool	Informatics	Medicalinformatics	Bioinformatics	Computerscience	Molecularbiology	Molecularmedicine	Mathematics	Biostatistics	Statistics	Genetics	Biology/biologicalsciences	Biochemistry
adtex	0	0	0	0	0	0	0	0	0	0	0	0
antepiseeker	0	0	1	0	0	0	0	0	1	0	0	0
apg	0	0	0	1	0	0	0	0	0	0	0	0
asgenseng	0	0	0	0	0	0	0	0	0	1	0	0
baliphy	0	0	0	0	0	0	1	0	0	1	0	0
barry	0	0	0	0	0	0	0	0	1	0	0	0
batalign	0	0	0	1	0	0	0	0	0	0	0	0
bellerophontes	0	0	0	0	0	0	0	0	0	0	0	0
bfast	0	0	0	0	0	0	0	0	0	1	0	0
bfc	0	0	0	0	0	0	0	0	0	1	0	0
bicseq	1	0	0	0	0	0	0	0	0	1	0	0
binpacker	0	0	0	1	0	0	0	0	0	0	0	0
bismark	0	0	1	0	0	0	0	0	0	0	0	0
bismarkbowtiela	0	0	1	0	0	0	0	0	0	0	0	0
bismarkbowtielb	0	0	1	0	0	0	0	0	0	0	0	0
bismarkbowtielc	0	0	1	0	0	0	0	0	0	0	0	0
biss	0	0	1	0	0	0	0	0	0	0	0	0
bless	0	0	0	0	0	0	0	0	0	0	0	0
blue	1	0	0	0	0	0	0	0	0	0	0	0
bmp	0	0	0	0	0	0	0	0	0	0	0	0
boost	0	0	0	0	0	0	0	0	0	0	0	0
bowtie	0	0	1	0	0	0	0	0	0	0	0	0
bowtie2	0	0	1	0	0	0	0	0	0	0	0	0
bowtiestar	0	0	1	0	0	0	0	0	0	0	0	0
bratbw	0	0	0	1	0	0	0	0	0	0	0	0
breakdancer	0	0	0	0	0	0	0	0	0	1	0	0
breakseek	0	0	1	0	0	0	0	0	0	0	0	0
breakseq	0	0	1	0	0	0	0	0	0	0	0	0
bridger	0	0	0	0	0	0	1	0	0	0	0	0
bsmap	0	0	0	0	0	0	0	1	0	0	0	0
bsmooth	0	0	0	0	0	0	0	1	0	0	0	0
bsseeker	0	0	0	0	0	0	0	0	0	0	1	0
buckycon	0	0	0	0	0	0	0	0	1	0	0	0
buckymrbayes	0	0	0	0	0	0	0	0	1	0	0	0
buckymrbayesspa	0	0	0	0	0	0	0	0	1	0	0	0
buckypop	0	0	0	0	0	0	0	0	1	0	0	0
buckyraxml	0	0	0	0	0	0	0	0	1	0	0	0
builder	0	0	0	0	1	0	0	0	0	0	0	0
bwapssm	0	0	0	0	0	0	0	0	0	0	1	0
calista	0	0	0	0	0	0	0	0	0	0	0	0
caml	0	0	1	0	0	0	0	0	0	0	0	0
camp	0	0	0	0	0	0	0	0	0	0	0	0
canu	0	0	1	0	0	0	0	0	0	0	0	0
carma	0	0	1	0	0	0	0	0	0	0	0	0
casdesigner	0	0	0	0	0	0	0	0	0	0	0	0
ce	0	0	0	0	0	0	0	0	0	0	0	0
cellrouter	0	0	0	0	0	0	0	0	0	0	0	0
celltrails	0	0	0	0	0	0	0	0	0	0	0	0
celltreegibbs	0	0	0	0	0	0	0	0	0	0	0	0
celltreemaptpx	0	0	0	0	0	0	0	0	0	0	0	0
celltreevem	0	0	0	0	0	0	0	0	0	0	0	0
cg	0	1	0	0	0	0	0	0	0	0	0	0
chimerascan	0	0	0	0	0	0	0	0	0	0	0	0
chimpipe	0	0	0	0	0	0	0	0	0	1	0	0
chisquare	0	0	0	0	0	0	0	0	0	0	0	0
chopchop	0	0	0	0	1	0	0	0	0	0	0	0
clark	0	0	0	1	0	0	0	0	0	0	0	0
clarks	0	0	0	1	0	0	0	0	0	0	0	0
clever	0	0	0	1	0	0	0	0	0	1	0	0
clustal	0	0	0	0	0	1	0	0	0	0	0	0
clustalomega	0	0	0	0	0	1	0	0	0	0	0	0
clustalw	0	0	0	0	1	0	0	0	0	0	0	0
cnmops	0	0	1	0	0	0	0	0	0	0	0	0
cnvkit	0	0	0	0	0	0	0	0	0	0	0	0
cnvnator	0	0	1	0	0	0	0	0	0	0	0	0
cnvnorm	0	0	0	0	0	0	0	0	1	0	0	0
cnvseq	0	0	0	0	0	0	0	0	0	0	1	1
colormap	0	0	0	0	0	0	1	0	0	0	0	0
combat	0	0	0	0	0	0	0	1	0	0	0	0
conifer	0	0	0	0	0	0	0	0	0	1	0	0
contextmap	1	0	0	0	0	0	0	0	0	0	0	0
contra	0	0	1	0	0	0	0	0	0	0	0	0
contralign	0	0	0	1	0	0	0	0	0	0	0	0
controlfreec	0	0	1	0	0	0	0	0	0	0	0	0
coprarna	0	0	1	0	0	0	0	0	0	1	0	0
coral	0	0	0	1	0	0	0	0	0	0	0	0
cortex	0	0	0	0	0	0	0	0	1	1	0	0
cosine	0	0	0	1	0	0	0	0	0	0	0	0
crac	1	0	0	0	0	0	0	0	0	0	0	0
crest	0	0	1	0	0	0	0	0	0	0	0	0
crisp	0	0	0	0	0	0	0	0	0	1	0	0
crispor	0	0	0	0	0	0	0	0	0	1	0	0
crisprdo	0	0	1	0	0	0	0	0	0	0	0	0
cro	0	0	0	0	0	0	0	0	0	0	0	0
cromwell	0	0	0	0	0	0	0	1	0	0	0	0
csblast	0	0	0	0	0	0	0	0	0	1	0	1
cufflinks	0	0	0	0	0	0	0	0	0	0	1	0
cushaw	1	0	0	0	0	0	0	0	0	0	0	0
cwt	0	0	0	0	0	0	0	0	0	0	0	0
dali	0	0	0	0	1	0	0	0	0	0	0	0
defuse	0	0	0	0	0	0	0	0	0	0	0	0
delly	0	0	0	0	1	0	0	0	0	1	0	0
deseq2	0	0	0	0	1	0	0	0	0	1	0	0
desingle	0	0	1	0	0	0	0	0	0	0	0	0
dexseq	0	0	0	0	1	0	0	0	0	0	0	0
dialign	0	0	0	0	0	0	0	0	0	0	0	0
dialign22	0	0	0	0	0	0	0	0	0	0	0	0
dialignt	0	0	0	0	0	0	0	0	0	1	0	0
dialigntx	0	0	0	0	0	0	0	0	0	1	0	0
diffsplice	0	0	0	1	0	1	0	0	0	0	0	0
diginormvelvet	0	0	0	1	0	0	0	0	0	1	0	0
dima	0	0	0	1	0	0	0	0	0	1	0	0
djigsaw	0	0	0	0	0	0	0	0	0	0	0	0
dpt	0	0	1	0	0	0	0	0	0	0	0	0
dsgseq	0	0	1	0	0	0	0	0	0	0	0	0
ebi	0	0	1	0	0	0	0	0	0	0	0	0
echo	0	0	0	1	0	0	0	0	1	0	0	0
ectools	0	0	0	1	0	0	0	0	0	0	0	0
edenanonstrict	0	0	0	0	0	0	0	0	0	1	0	0
edenastrict	0	0	0	0	0	0	0	0	0	1	0	0
edger	0	0	1	0	0	0	0	0	0	0	0	0
edit	0	0	0	1	0	0	0	0	0	0	0	0
elpigraph	0	0	1	0	0	0	0	0	0	0	0	0
elpigraphcycle	0	0	1	0	0	0	0	0	0	0	0	0
elpigraphlinear	0	0	1	0	0	0	0	0	0	0	0	0
embeddr	0	0	0	0	0	0	0	0	0	1	0	0
emdomics	0	0	0	0	0	0	0	0	0	0	0	0
epimode	0	0	1	0	0	0	0	0	0	0	0	0
erds	0	0	0	0	0	0	0	0	0	1	0	0
ericscript	0	0	0	0	0	0	0	0	0	1	0	0
erpin	0	0	0	0	0	0	0	0	0	0	0	0
ersa	0	0	0	0	0	0	0	0	0	0	0	0
exomecnv	0	0	0	0	0	0	0	1	0	1	0	0
exomecopy	0	0	0	0	0	0	0	0	0	1	0	0
fa	0	0	0	0	0	0	0	0	0	0	0	0
fasta	0	0	0	0	0	0	0	0	0	0	0	1
fastlbd	0	0	0	0	0	0	0	1	0	1	0	0
fastmnn	0	0	1	0	0	0	0	0	0	0	0	0
fasttree	0	0	0	0	0	0	0	0	0	0	0	0
fateid	0	0	0	0	0	0	0	0	0	0	0	0
fermikit	0	0	0	0	0	0	0	0	0	1	0	0
fiona	0	0	1	1	0	0	0	0	0	0	0	0
fisherz	0	0	0	0	0	0	0	0	0	0	0	0
flashfry	0	0	0	0	0	0	0	0	0	1	0	0
flye	0	0	0	1	0	0	0	0	0	0	0	0
fmlrc	0	0	0	0	0	0	0	0	0	1	0	0
forestsv	0	0	0	0	0	0	0	0	0	1	0	0
forks	0	0	1	0	0	0	0	0	0	0	0	0
fusionhunter	0	0	0	0	0	0	0	0	0	0	0	0
fusionmap	1	0	0	0	0	0	0	0	0	0	0	0
gasvpro	0	0	1	1	0	0	0	0	0	0	0	0
gatk	0	0	0	0	0	0	0	0	0	1	0	0
genie	0	0	0	1	0	0	0	0	0	0	0	0
genomestrip	0	0	0	0	0	0	0	0	0	1	0	0
genometa	0	0	0	0	0	1	0	0	0	0	0	0
germline	0	0	0	1	0	0	0	0	0	0	0	0
gojobori	0	0	0	0	0	0	0	0	0	1	0	0
goldman	0	0	0	0	0	0	0	0	0	1	0	0
gossamer	0	0	0	1	0	0	0	0	0	0	0	0
gottcha	0	0	0	0	0	0	0	0	0	0	1	0
gpfates	0	0	1	0	0	0	0	0	0	0	0	0
grandprix	1	0	0	0	0	0	0	0	0	0	0	0
gridss	0	0	1	0	0	1	0	0	0	0	0	0
grisl	0	0	1	0	0	0	0	0	0	0	0	0
grnboost	0	0	1	0	0	0	0	0	0	1	0	0
grnvbem	0	0	0	0	0	0	0	0	0	0	0	0
gromrd	0	0	0	0	0	0	0	0	0	0	1	0
gsnap	0	0	1	0	0	0	0	0	0	0	0	0
halc	0	0	0	0	0	0	0	0	0	0	0	0
harmony	0	0	0	1	0	0	0	0	0	1	0	0
hhsearch	0	0	0	0	0	0	0	0	0	0	0	1
hisat	0	0	1	0	0	0	0	1	0	0	0	0
hitec	0	0	0	1	0	0	1	0	0	0	0	0
hmmer	0	0	0	0	0	0	0	0	0	1	0	0
hshrec	0	0	0	1	0	0	0	0	0	0	0	0
hydra	0	0	0	0	0	0	0	0	0	1	0	0
ibdseq	0	0	0	0	0	1	0	0	0	0	0	0
icopydav	0	0	1	0	0	0	0	0	0	0	0	0
idbatran	0	0	0	1	0	0	0	0	0	0	0	0
idbaud	0	0	0	1	0	0	0	0	0	0	0	0
igtpduplossft	0	0	0	1	0	0	0	0	0	0	0	0
inchworm	0	0	0	0	0	0	0	0	0	0	1	0
indelminer	0	0	1	0	0	0	0	0	0	0	0	0
infernal	0	0	0	0	0	0	0	0	0	1	0	0
infusion	0	0	0	0	1	0	0	0	0	0	0	0
ingapsv	0	0	0	0	0	0	0	0	0	0	0	0
intarna	0	0	1	0	0	0	0	0	0	0	0	0
jabba	0	0	1	0	0	0	0	0	0	0	0	0
jaffa	0	0	0	0	0	0	0	0	0	1	0	0
jaffaassembly	0	0	0	0	0	0	0	0	0	1	0	0
jaffadirect	0	0	0	0	0	0	0	0	0	1	0	0
jaffahybrid	0	0	0	0	0	0	0	0	0	1	0	0
kalign	0	0	1	0	0	0	0	0	0	1	0	0
karect	0	0	0	1	0	0	0	0	0	0	0	0
kart	0	0	0	0	0	0	0	0	0	0	0	0
kbsps	0	0	0	0	0	0	0	0	0	0	0	0
khmer	0	0	0	1	0	0	0	0	0	1	0	0
king	0	0	0	0	0	0	0	0	0	0	0	0
kmergenie	0	0	0	1	0	0	0	0	0	0	0	1
kmerstream	0	0	0	1	0	0	0	0	0	1	0	0
kraken	0	0	1	1	0	0	0	0	0	0	0	0
last	0	0	1	0	0	0	0	0	0	0	0	0
lasv	0	0	0	0	0	0	0	0	0	0	0	1
leap	0	0	0	0	0	0	0	0	0	0	0	0
lighter	0	0	0	1	0	0	0	0	0	1	0	0
limpic	0	0	0	0	0	1	0	0	0	0	0	0
lmat	0	0	0	1	0	0	0	0	0	0	0	0
lms	0	0	0	0	0	0	0	0	0	0	0	0
lofreq	0	0	0	0	0	0	0	0	0	1	0	0
lordec	0	0	0	1	0	0	0	0	0	0	0	0
lsc	0	0	0	0	0	0	0	0	1	0	0	0
lsqman	0	0	0	0	1	0	0	0	0	0	0	0
lumpy	0	0	0	0	0	0	0	0	0	1	0	0
mafft	0	1	0	0	0	0	0	0	0	0	0	0
mafftfftns	0	1	0	0	0	0	0	0	0	0	0	0
mafftfftns2	0	1	0	0	0	0	0	0	0	0	0	0
mafftginsi	0	1	0	0	0	0	0	0	0	0	0	0
mafftlinsi	0	1	0	0	0	0	0	0	0	0	0	0
mapsplice	0	0	0	1	0	0	0	0	0	0	0	0
mast	0	0	0	0	0	0	0	0	0	0	0	0
matchclip	0	0	0	0	0	0	0	1	0	0	0	0
matcher	0	0	0	1	0	0	0	0	0	0	0	0
mats	0	0	0	0	0	0	0	1	0	0	0	0
meerkat	0	1	0	0	0	0	0	0	0	0	0	0
megan	0	0	1	0	0	0	0	0	0	0	0	0
merlot	0	0	1	0	0	0	0	0	0	0	0	0
metaflow	0	0	0	0	0	0	0	0	0	0	0	0
metaphlan	0	0	0	0	0	0	0	1	0	0	0	0
metaphyler	0	0	1	1	0	0	0	0	0	0	0	0
methylkit	0	0	0	0	0	0	0	0	0	0	0	0
methylsig	0	0	1	0	0	0	0	0	0	0	0	0
mfa	0	0	0	1	0	0	0	0	0	1	0	0
mgrast	0	0	0	0	0	0	1	0	0	0	0	0
minia	0	0	0	1	0	0	0	0	0	0	0	0
miniasmminipolish	0	0	0	0	0	0	0	0	0	0	0	0
mira	0	0	0	0	0	0	0	0	0	0	0	0
mirdeep	0	0	0	0	0	1	0	0	0	0	0	0
mireap	0	0	0	0	0	0	0	0	0	0	0	0
mirena	0	0	0	0	0	0	0	0	0	1	0	0
mirexpress	0	0	0	0	0	0	0	0	0	0	0	0
mmdb	0	0	0	0	0	0	0	0	0	0	0	0
mmdresnet	0	0	1	0	0	0	0	0	0	0	0	0
mnncorrect	0	0	1	0	0	0	0	0	0	0	0	0
modellerv	0	0	0	0	0	0	0	0	0	0	0	1
monocle2	0	0	0	0	0	0	0	0	0	1	0	0
monocleddrtree	0	0	0	0	0	0	0	0	0	1	0	0
monocleica	0	0	0	0	0	0	0	0	0	1	0	0
mosaik	0	0	0	0	0	0	0	0	0	0	1	0
mothur	0	0	0	0	0	0	0	0	0	0	0	0
motu	0	0	0	0	1	0	0	0	0	0	0	0
mpath	0	0	0	0	0	0	0	0	0	0	0	0
mpest	0	0	0	0	0	0	0	0	0	0	0	0
mrfast	0	0	0	0	0	0	0	0	0	1	0	0
mrpml	0	0	0	0	0	0	0	0	0	0	0	0
mrpmp	0	0	0	0	0	0	0	0	0	0	0	0
mrsfast	0	0	0	1	0	0	0	0	0	1	0	0
msinspect	0	0	0	0	0	0	0	0	0	0	0	0
multalin	0	0	0	0	0	0	0	0	0	1	0	0
muscle	0	0	0	0	0	0	0	0	0	0	0	0
musclemaxiters	0	0	0	0	0	0	0	0	0	0	0	0
musket	1	0	0	0	0	0	0	0	0	0	0	0
nbc	0	0	0	0	0	0	0	0	0	0	0	0
ncbiblast	0	0	0	0	0	0	0	0	0	0	0	0
nest	0	0	1	0	0	0	0	0	0	0	0	1
nextgenmap	0	0	1	0	0	0	0	0	0	0	0	0
nfuse	0	0	0	1	0	0	0	0	0	0	0	0
ntcard	0	0	0	0	0	0	0	0	0	1	0	0
oases	0	0	1	0	0	0	0	0	0	0	0	0
olego	0	0	0	0	1	0	1	0	0	0	0	0
oncosnpseq	0	0	0	0	0	0	1	0	0	0	0	0
openms	0	0	1	0	0	0	0	0	0	0	0	0
ouija	0	0	0	0	0	0	0	0	1	1	0	0
ouijaflow	0	0	0	0	0	0	0	0	1	1	0	0
paga	0	0	1	0	0	0	1	0	0	0	0	0
pagatree	0	0	1	0	0	0	1	0	0	0	0	0
pairfold	0	0	0	1	0	0	0	0	0	0	0	0
paralign	0	0	0	0	1	0	0	0	0	0	0	0
pass	0	0	0	0	0	0	0	0	0	0	0	0
pbhoneyngm	0	0	0	0	0	0	0	0	0	1	0	0
pcrelate	0	0	0	0	0	0	0	1	0	0	0	0
pcreode	0	0	0	0	0	0	0	0	0	0	0	1
penncnvseq	0	0	0	0	0	0	0	0	0	1	0	0
perm	0	0	1	0	0	0	0	0	0	0	0	0
phenopath	0	0	1	0	0	0	0	0	0	1	0	0
phylonetft	0	0	0	1	0	0	0	0	0	0	0	0
phylopythias	0	0	1	0	0	0	0	0	0	0	0	0
phylosift	0	0	0	0	0	0	0	0	0	1	0	0
phymmbl	0	0	1	0	0	0	0	0	0	0	0	0
phytocrispex	0	0	0	0	0	0	0	0	0	0	1	0
pidc	0	0	1	0	0	0	0	0	0	0	0	0
pindel	0	0	1	0	0	0	0	0	0	0	0	0
pizzly	0	0	0	1	1	0	0	0	0	0	0	0
plink	0	0	0	0	0	0	0	0	0	1	0	0
poa	0	0	0	0	0	0	0	0	0	0	0	1
pollux	0	0	0	0	0	0	0	0	0	0	1	0
ppcor	0	0	0	0	0	0	0	1	0	0	0	0
prada	0	0	1	0	0	0	0	0	0	0	0	0
prank	0	0	1	0	0	0	0	0	0	0	0	0
prestplus	0	0	0	0	0	0	0	0	0	0	0	1
prime	0	0	1	1	0	0	0	0	0	0	0	0
prism	0	1	0	1	0	0	0	0	0	0	0	0
probalign	0	0	0	1	0	0	0	0	0	0	0	0
probcons	0	0	0	1	0	0	0	0	0	0	0	0
probtree	0	0	0	1	0	0	0	0	0	0	0	0
process	0	0	0	0	0	0	0	0	0	1	0	0
promals	0	0	0	0	0	0	0	0	0	0	0	1
proovread	0	0	1	0	0	0	0	0	0	0	0	0
pseudogp	0	0	0	0	0	0	0	0	1	1	0	0
pt	0	0	0	1	0	0	0	0	0	0	0	0
qiime	0	0	0	0	0	0	0	0	0	0	0	1
qiimess	0	0	0	0	0	0	0	0	0	0	0	1
qsra	0	0	0	1	0	0	0	0	0	0	0	0
quake	0	0	1	1	0	0	0	0	0	0	0	0
raceid_stemid	0	0	0	0	0	0	0	0	0	1	0	0
racer	0	0	0	1	0	0	0	0	0	0	0	0
raiphy	0	0	0	0	0	0	0	0	0	0	0	0
raptr	0	0	0	0	0	0	0	0	0	1	0	0
raven	0	0	1	0	0	0	0	0	0	0	0	0
ravenna	0	0	0	1	0	0	0	0	0	0	0	0
raxml	1	0	0	1	0	0	0	0	0	0	0	0
raxmllimited	1	0	0	1	0	0	0	0	0	0	0	0
rdiffparam	0	0	0	1	1	0	0	0	0	0	0	0
readdepth	0	0	1	0	0	0	0	0	0	1	0	0
reap	0	0	0	0	0	0	0	0	0	1	0	0
recat	0	0	1	0	0	0	0	0	0	0	0	0
reckoner	1	0	0	0	0	0	0	0	0	0	0	0
redbean	0	1	0	1	0	0	0	0	0	0	0	0
refinedibd	0	0	0	0	0	1	0	0	0	0	0	0
relateadmix	0	0	1	0	0	0	0	0	0	1	0	0
repeatfinder	0	0	0	0	0	0	0	0	0	1	0	0
repeatgluer	0	0	0	0	0	0	1	0	0	0	0	0
repeatscout	0	0	0	1	0	0	0	0	0	0	0	0
reptile	0	0	1	0	0	0	0	0	0	0	0	0
rmap	0	0	1	0	0	0	0	0	0	0	0	0
rnacofold	0	0	0	0	0	0	0	0	0	0	0	1
rnaduplex	0	0	0	0	0	0	0	0	0	0	0	1
rnahybrid	0	0	1	0	0	0	0	0	0	0	0	0
rnaplex	0	0	0	0	0	0	0	0	0	0	0	1
rnaup	0	0	0	0	0	0	0	0	0	0	0	1
rsearch	0	0	0	0	0	0	0	0	0	1	0	0
rsicnv	0	0	0	0	0	0	0	1	0	0	0	0
rsmatch	0	0	0	0	0	0	0	0	0	0	0	1
rswseg	0	1	0	0	0	1	0	0	0	0	0	0
rum	0	0	1	0	0	0	0	0	0	1	0	0
sate	0	0	0	0	0	0	0	0	0	0	1	0
scanorama	0	0	0	1	0	0	1	0	0	0	0	0
scdd	0	0	0	0	0	0	0	1	1	0	0	0
scde	0	1	0	0	0	0	0	0	0	0	0	0
scgen	0	0	1	0	0	0	0	0	0	0	0	0
scimitar	0	0	0	0	0	0	0	0	0	1	0	0
scmerge	0	0	0	0	0	0	1	0	0	0	0	0
scode	0	0	1	0	0	0	0	0	0	0	0	0
scorpius	0	1	0	0	0	0	0	0	0	0	0	0
scoup	0	0	1	0	0	0	0	0	0	0	0	0
scribe	0	0	0	0	0	0	0	0	0	0	0	0
scuba	0	0	0	0	0	0	0	1	0	0	0	0
scwrl	0	0	0	0	0	0	0	0	0	0	0	0
scwrlcons	0	0	0	0	0	0	0	0	0	0	0	0
segemehl	0	0	0	0	0	0	0	0	0	0	0	0
segmodencad	0	0	0	0	0	0	0	0	0	0	0	0
seqgsea	0	0	0	0	0	0	0	0	0	0	0	0
seqmap	0	0	0	0	0	0	0	0	1	0	0	0
seurat	0	0	0	0	0	0	0	0	0	1	0	0
sgrnascorer	0	0	0	0	0	0	0	0	0	1	0	0
shannon	0	0	0	0	0	0	0	0	0	0	0	0
sharcgs	0	0	0	0	0	0	0	0	0	1	0	0
shasta	0	0	0	0	0	0	0	0	0	1	0	0
shrimp	0	0	0	1	0	0	0	0	0	0	0	0
sigemd	0	0	0	1	0	0	0	0	0	0	0	0
sincell	0	0	1	0	0	0	0	0	0	0	0	0
sincera	0	1	0	0	0	0	0	0	0	0	0	0
sincerities	0	0	1	0	0	0	0	0	0	0	0	0
singe	0	0	0	0	0	0	0	1	0	0	0	0
slice	0	1	0	0	0	0	0	0	0	0	0	0
slicer	0	0	1	1	0	0	0	0	0	0	0	0
slingshot	0	0	0	0	0	0	0	1	1	0	0	0
snap	0	0	0	0	0	1	0	0	0	0	0	0
sniffles	0	0	0	1	0	0	0	0	0	0	0	0
snpruler	0	0	0	1	0	0	0	0	0	0	0	0
snver	0	0	0	1	0	0	0	0	0	1	0	0
soap	0	0	0	0	0	0	0	0	0	1	0	1
soap2	0	0	0	0	0	0	0	0	0	1	0	1
soapdenovo	0	0	0	0	0	0	0	0	0	1	0	1
soapec	0	0	0	0	0	0	0	0	0	1	0	1
soapfuse	0	0	0	0	0	0	0	0	0	1	0	0
soapsplice	0	0	0	1	0	0	0	0	0	0	0	0
soapstar	0	0	0	0	0	0	0	0	0	1	0	1
soaptrans	0	0	0	1	0	0	0	0	0	0	0	0
socrates	0	0	1	0	0	0	0	0	0	0	0	0
softsearch	0	1	0	0	0	0	0	0	0	0	0	0
softsv	0	1	0	0	0	0	0	0	0	0	0	0
solodel	0	0	0	0	0	0	0	0	0	0	0	0
spades	0	0	0	1	0	0	0	0	0	0	0	0
spadesrna	0	0	0	0	0	0	0	0	0	0	0	0
spadessc	0	0	0	1	0	0	0	0	0	0	0	0
sparse	0	0	0	0	0	0	0	0	0	1	0	0
sparseassembler	0	0	0	0	0	0	0	0	0	1	0	0
spcomp	0	0	1	0	0	0	0	0	0	0	0	0
specarray	0	0	0	0	0	0	0	0	0	0	0	0
sprites	0	0	0	0	0	0	0	0	0	0	0	0
srmapper	0	0	0	0	0	0	0	0	0	0	0	1
ssaha	1	0	0	0	0	0	0	0	0	0	0	0
ssake	0	0	0	0	0	0	0	0	0	1	0	0
ssap	0	0	0	0	0	0	0	0	0	0	0	0
ssc	0	0	0	0	0	0	0	1	0	0	0	0
ssearch	0	0	0	0	0	0	0	0	0	0	0	1
ssm	0	0	1	0	0	0	0	0	0	0	0	0
sst	0	0	0	1	0	0	0	0	0	0	0	0
st	0	0	0	1	0	0	0	0	0	0	0	0
starbeast	0	0	0	1	0	0	0	0	0	0	0	0
starchip	0	0	0	0	0	0	0	0	0	1	0	0
stemnet	0	0	0	0	0	0	0	0	0	1	0	0
strcutal	0	0	0	0	0	0	0	0	0	0	0	1
subread	0	0	1	1	0	0	0	0	0	0	0	0
svaba	0	0	1	0	0	0	0	0	0	0	0	0
svelter	0	0	1	0	0	0	0	0	0	1	0	0
svfinder	0	0	0	0	0	0	0	1	0	0	0	0
svseq	0	0	0	1	0	0	0	0	0	0	0	0
swissmodel	0	0	1	0	0	0	0	0	0	0	0	0
taipan	0	0	0	1	0	0	0	0	0	0	0	0
targetrna	0	0	0	1	0	0	0	0	0	0	0	0
targetrna2	0	0	0	1	0	0	0	0	0	0	0	0
taxatortk	0	0	1	0	0	0	0	0	0	0	0	0
tcoffee	0	0	0	0	0	0	0	0	0	1	0	0
team	0	0	0	1	0	0	0	1	0	0	0	0
tiddit	0	0	0	0	0	0	0	0	0	0	0	1
tophat	0	0	1	1	0	0	0	0	0	0	0	0
tophatfusion	0	0	1	1	0	0	0	0	0	0	0	0
topslam	0	0	0	1	0	0	0	0	0	0	0	0
transabyss	0	0	0	0	0	0	0	0	0	1	0	0
trinity	0	0	0	0	0	0	0	0	0	0	1	0
tscan	0	0	0	0	0	0	0	1	0	0	0	0
ulysses	0	0	1	0	0	0	0	0	0	0	0	0
urd	0	0	0	0	1	0	0	0	0	0	0	0
variationhunter	0	0	0	1	0	0	0	0	0	1	0	0
varscan	0	0	0	0	0	0	0	0	0	1	0	0
vcake	0	0	0	0	0	0	0	0	0	1	0	0
velvet	0	0	1	0	0	0	0	0	0	0	0	0
wanderlust	0	0	0	0	0	0	0	0	0	0	1	0
waterfall	0	0	0	0	0	1	0	0	0	0	0	0
wham	0	0	0	0	0	0	0	0	0	1	0	0
wishbone	0	0	0	0	0	0	0	0	0	0	1	0
wmrpmp	0	0	0	0	0	0	0	0	0	0	0	0
wublast	0	0	1	0	0	0	0	0	0	0	0	0
wucrispr	0	0	0	0	0	0	0	0	0	0	0	0
xalign	0	0	0	0	0	0	0	0	0	0	1	0
xcmswithcorrection	0	0	0	0	1	0	0	0	0	0	0	0
xcmswithoutretentiontime	0	0	0	0	1	0	0	0	0	0	0	0
zinbwave	0	0	1	0	0	0	0	0	0	0	0	0
